2026-05-16 16:00:23 INFO  BaseTest - Extent Report Initialized
2026-05-16 16:01:39 INFO  BaseTest - Extent Report Initialized
2026-05-16 16:03:27 INFO  BaseTest - Extent Report Initialized
2026-05-16 16:03:35 INFO  BaseTest - Extent Report Flushed
2026-05-16 16:05:00 INFO  BaseTest - Extent Report Initialized
2026-05-16 16:05:00 INFO  BaseTest - Data Properties Loaded
2026-05-16 16:05:08 INFO  BaseTest - Extent Report Flushed
2026-05-16 16:12:43 INFO  BaseTest - Extent Report Initialized
2026-05-16 16:12:43 INFO  BaseTest - Data Properties Loaded
2026-05-16 16:12:46 INFO  BaseTest - EdgeDriver Loaded for the test method: Optional[void tests.LoginTests.validateInvalidPassword() throws java.io.IOException]
2026-05-16 16:12:51 INFO  BaseTest - Application URL Loaded on Edge
2026-05-16 16:12:52 INFO  BaseTest - Driver closed for the test Optional[void tests.LoginTests.validateInvalidPassword() throws java.io.IOException]
2026-05-16 16:12:53 INFO  BaseTest - EdgeDriver Loaded for the test method: Optional[void tests.LoginTests.validateLoginSuccess() throws java.io.IOException]
2026-05-16 16:12:57 INFO  BaseTest - Application URL Loaded on Edge
2026-05-16 16:12:59 INFO  BaseTest - Driver closed for the test Optional[void tests.LoginTests.validateLoginSuccess() throws java.io.IOException]
2026-05-16 16:13:00 INFO  BaseTest - EdgeDriver Loaded for the test method: Optional[void tests.LoginTests.validateLogoutFunctionality() throws java.io.IOException,java.lang.InterruptedException]
2026-05-16 16:13:04 INFO  BaseTest - Application URL Loaded on Edge
2026-05-16 16:13:06 INFO  BaseTest - Driver closed for the test Optional[void tests.LoginTests.validateLogoutFunctionality() throws java.io.IOException,java.lang.InterruptedException]
2026-05-16 16:13:07 INFO  BaseTest - EdgeDriver Loaded for the test method: Optional[void tests.LoginTests.validatePageLoad() throws java.io.IOException]
2026-05-16 16:13:11 INFO  BaseTest - Application URL Loaded on Edge
2026-05-16 16:13:12 INFO  BaseTest - Driver closed for the test Optional[void tests.LoginTests.validatePageLoad() throws java.io.IOException]
2026-05-16 16:13:12 INFO  BaseTest - EdgeDriver Loaded for the test method: Optional[void tests.LoginTests.validateElementalSelenium() throws java.io.IOException,java.lang.InterruptedException]
2026-05-16 16:13:17 INFO  BaseTest - Application URL Loaded on Edge
2026-05-16 16:13:19 INFO  BaseTest - Driver closed for the test Optional[void tests.LoginTests.validateElementalSelenium() throws java.io.IOException,java.lang.InterruptedException]
2026-05-16 16:13:19 INFO  BaseTest - EdgeDriver Loaded for the test method: Optional[void tests.LoginTests.validateInvalidUsername() throws java.io.IOException]
2026-05-16 16:13:24 INFO  BaseTest - Application URL Loaded on Edge
2026-05-16 16:13:25 INFO  BaseTest - Driver closed for the test Optional[void tests.LoginTests.validateInvalidUsername() throws java.io.IOException]
2026-05-16 16:13:25 INFO  BaseTest - Extent Report Flushed
2026-05-16 16:16:06 INFO  BaseTest - Extent Report Initialized
2026-05-16 16:16:07 INFO  BaseTest - Data Properties Loaded
2026-05-16 16:16:07 ERROR BaseTest - Invalid Browser name passed
2026-05-16 16:16:07 INFO  BaseTest - Driver closed for the test Optional[void tests.LoginTests.validateInvalidPassword() throws java.io.IOException]
2026-05-16 16:16:07 ERROR BaseTest - Invalid Browser name passed
2026-05-16 16:16:07 INFO  BaseTest - Driver closed for the test Optional[void tests.LoginTests.validateLoginSuccess() throws java.io.IOException]
2026-05-16 16:16:07 ERROR BaseTest - Invalid Browser name passed
2026-05-16 16:16:07 INFO  BaseTest - Driver closed for the test Optional[void tests.LoginTests.validateLogoutFunctionality() throws java.io.IOException,java.lang.InterruptedException]
2026-05-16 16:16:07 ERROR BaseTest - Invalid Browser name passed
2026-05-16 16:16:07 INFO  BaseTest - Driver closed for the test Optional[void tests.LoginTests.validatePageLoad() throws java.io.IOException]
2026-05-16 16:16:07 ERROR BaseTest - Invalid Browser name passed
2026-05-16 16:16:07 INFO  BaseTest - Driver closed for the test Optional[void tests.LoginTests.validateElementalSelenium() throws java.io.IOException,java.lang.InterruptedException]
2026-05-16 16:16:07 ERROR BaseTest - Invalid Browser name passed
2026-05-16 16:16:07 INFO  BaseTest - Driver closed for the test Optional[void tests.LoginTests.validateInvalidUsername() throws java.io.IOException]
2026-05-16 16:16:07 INFO  BaseTest - Extent Report Flushed
2026-05-16 16:42:25 INFO  BaseTest - Extent Report Initialized
2026-05-16 16:42:25 INFO  BaseTest - Data Properties Loaded
2026-05-16 16:42:28 INFO  BaseTest - EdgeDriver Loaded for the test method: Optional[void tests.LoginTests.validateInvalidPassword() throws java.io.IOException]
2026-05-16 16:42:33 INFO  BaseTest - Application URL Loaded on Edge
2026-05-16 16:42:34 INFO  BaseTest - Driver closed for the test Optional[void tests.LoginTests.validateInvalidPassword() throws java.io.IOException]
2026-05-16 16:42:35 INFO  BaseTest - EdgeDriver Loaded for the test method: Optional[void tests.LoginTests.validateLoginSuccess() throws java.io.IOException]
2026-05-16 16:42:40 INFO  BaseTest - Application URL Loaded on Edge
2026-05-16 16:42:41 INFO  BaseTest - Driver closed for the test Optional[void tests.LoginTests.validateLoginSuccess() throws java.io.IOException]
2026-05-16 16:42:42 INFO  BaseTest - EdgeDriver Loaded for the test method: Optional[void tests.LoginTests.validateLogoutFunctionality() throws java.io.IOException,java.lang.InterruptedException]
2026-05-16 16:42:46 INFO  BaseTest - Application URL Loaded on Edge
2026-05-16 16:42:48 INFO  BaseTest - Driver closed for the test Optional[void tests.LoginTests.validateLogoutFunctionality() throws java.io.IOException,java.lang.InterruptedException]
2026-05-16 16:42:49 INFO  BaseTest - EdgeDriver Loaded for the test method: Optional[void tests.LoginTests.validatePageLoad() throws java.io.IOException]
2026-05-16 16:42:53 INFO  BaseTest - Application URL Loaded on Edge
2026-05-16 16:42:53 INFO  BaseTest - Test Case Passed
2026-05-16 16:42:53 INFO  BaseTest - Driver closed for the test Optional[void tests.LoginTests.validatePageLoad() throws java.io.IOException]
2026-05-16 16:42:54 INFO  BaseTest - EdgeDriver Loaded for the test method: Optional[void tests.LoginTests.validateElementalSelenium() throws java.io.IOException,java.lang.InterruptedException]
2026-05-16 16:42:58 INFO  BaseTest - Application URL Loaded on Edge
2026-05-16 16:43:00 INFO  BaseTest - Driver closed for the test Optional[void tests.LoginTests.validateElementalSelenium() throws java.io.IOException,java.lang.InterruptedException]
2026-05-16 16:43:01 INFO  BaseTest - EdgeDriver Loaded for the test method: Optional[void tests.LoginTests.validateInvalidUsername() throws java.io.IOException]
2026-05-16 16:43:05 INFO  BaseTest - Application URL Loaded on Edge
2026-05-16 16:43:07 INFO  BaseTest - Driver closed for the test Optional[void tests.LoginTests.validateInvalidUsername() throws java.io.IOException]
2026-05-16 16:43:07 INFO  BaseTest - Extent Report Flushed
2026-05-16 17:14:12 INFO  BaseTest - Extent Report Initialized
2026-05-16 17:14:12 INFO  BaseTest - Data Properties Loaded
2026-05-16 17:14:16 INFO  BaseTest - EdgeDriver Loaded for the test method: Optional[void tests.LoginTests.validateInvalidPassword() throws java.io.IOException]
2026-05-16 17:14:20 INFO  BaseTest - Application URL Loaded on Edge
2026-05-16 17:14:22 INFO  BaseTest - Driver closed for the test Optional[void tests.LoginTests.validateInvalidPassword() throws java.io.IOException]
2026-05-16 17:14:23 INFO  BaseTest - EdgeDriver Loaded for the test method: Optional[void tests.LoginTests.validateLoginSuccess() throws java.io.IOException]
2026-05-16 17:14:28 INFO  BaseTest - Application URL Loaded on Edge
